"УК Первомайского района","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 15.45 Сб.-Вс. - выходной.","768","ул. Калинина, 49а"
"Змеинка - Плюс","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Калинина, 14"
"Квартирный вопрос","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Гульбиновича, 8/1"
"Управляющая компания Ленинского района","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Светланская, 183"
"Управляющая компания Первореченского района","Пн.-Чт. 08.00 до 17.00 Пт. 08.00 до 15.45 Сб.-Вс. - выходной.","768","ул. Тухачевского, 28"
"Престиж Плюс","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 15.45 Сб.-Вс. - выходной.","768","ул. Калинина, 49б"
"Управляющая компания Советского района","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Русская, 29"
"ФРЕГАТ","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Гульбиновича 8/1"
"Эгершельд","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 15.45 Сб.-Вс. - выходной.","768","ул. Мордовцева, 8/3"
"Мажордом","Пн.-Пт. с 08.00 до 18.00 Сб.-Вс. - выходной.","768","Авроровская, 20"
"УК Трудовое","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Чичерина, 10"
"Жилищные услуги","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Пологая, 36 каб. 25"
"Восточная строительная компания","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","100-летия Владивостока пр-кт, 103 оф. 416"
"Мой дом","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Краева, 8а"
"Первомайская управляющая компания-2","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Никифорова, 55а"
"Первомайская управляющая компания-2","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Приморская, 7"
"Первомайская управляющая компания-2","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Зои Космодемьянской, 27"
"Перекресток-В","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Подгорная, 13а"
"Дальневосточный регион","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Карбышева, 6"
"Влад дом","Пн.-Чт. с  08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Приморская, 7"
"Змеинка плюс","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","768","ул. Гульбиновича, 8/1"
"Лик","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Русская, 56"
"Окатовая","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Окатовая, 20"
"Союзлифтмонтаж","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","Бородинская, 20а"
"Управляющая компания 71-микрорайона","Пн.-Пт. с 08.00 до 17.00 Сб.-Вс. - выходной.","768","ул. Нейбута, 33а"
"Чуркин","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Калининна, 14"
"Лена-К","Пн.-Пт. с 09.00 до 18.00 Сб.-Вс. - выходной.","768","Овчинникова, 4"
"Приморье","Пн.-Чт. 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Светланская, 118"
"ВКУ","Пн.-Чт. с 08.00 до 17.00 Пт. с 08.00 до 16.00 Сб.-Вс. - выходной.","768","ул. Нейбута, 75д"
